Absolute Branch Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LPF,,,,,,,,,,,,,IvySyn,,,,,,,,,,,
repeat_interleave_cpu,,,100,100,100,100,100,100,100,100,100,100,100,100,,45.19309778,45.19309778,45.19309778,45.19309778,45.19309778,45.19309778,45.19309778,45.19309778,45.19309778,45.19309778,45.19309778,45.19309778
_has_compatible_shallow_copy_type,,,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100
unsafe_split,,,100,100,100,100,100,100,100,100,100,100,100,100,,64.26332288,64.26332288,64.26332288,64.26332288,64.26332288,64.26332288,64.26332288,64.26332288,64.26332288,64.26332288,64.26332288,64.26332288
cosine_similarity,,,93.62119725,94.75520663,95.2168066,96.08185222,96.54708683,97.52117181,97.69926944,97.69926944,98.46617962,98.8478174,99.22218588,100,,29.31341548,29.31341548,29.31341548,29.31341548,29.31341548,29.31341548,29.31341548,29.31341548,29.31341548,29.31341548,29.31341548,29.31341548
embedding,,,100,100,100,100,100,100,100,100,100,100,100,100,,64.79099678,64.79099678,64.79099678,64.79099678,64.79099678,64.79099678,64.79099678,64.79099678,64.79099678,64.79099678,64.79099678,64.79099678
constant_pad_nd,,,94.21888608,95.4174097,97.05553021,98.1586696,98.9051549,99.39866462,99.6723759,99.70970016,99.75117157,99.75117157,99.89632149,100,,12.02670759,12.02670759,12.02670759,12.02670759,12.02670759,12.02670759,12.02670759,12.02670759,12.02670759,12.02670759,12.02670759,12.02670759
_pack_padded_sequence,,,70.42542649,77.2421604,82.96878318,86.34529624,87.9733843,88.11495717,88.48304665,89.19091102,89.77135981,90.91810009,95.49090394,100,,42.08253699,42.08253699,42.08253699,42.08253699,42.08253699,42.08253699,42.08253699,42.08253699,42.08253699,42.08253699,42.08253699,42.08253699
hardtanh,,,90.52363791,93.4492262,94.41382234,94.4244223,96.38541446,97.32881068,97.68920924,97.99660801,98.34640661,98.68560526,99.6502014,100,,16.53593386,16.53593386,16.53593386,16.53593386,16.53593386,16.53593386,16.53593386,16.53593386,16.53593386,16.53593386,16.53593386,16.53593386
type_as,,,100,100,100,100,100,100,100,100,100,100,100,100,,5.286296087,5.286296087,5.286296087,5.286296087,5.286296087,5.286296087,5.286296087,5.286296087,5.286296087,5.286296087,5.286296087,5.286296087
outer,,,98.52564103,98.83903134,99.09188034,99.38390313,99.52991453,99.67948718,99.83618234,99.83618234,99.83618234,99.84330484,99.98931624,100,,5.11039886,5.11039886,5.11039886,5.11039886,5.11039886,5.11039886,5.11039886,5.11039886,5.11039886,5.11039886,5.11039886,5.11039886
