Absolute Branch Coverage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LPF,,,,,,,,,,,,,,DeepREL,,,,,,,,,,,,,,TitanFuzz,,,,,,,,,,,
adaptive_avg_pool2d,,99.92350061,99.93880049,99.93880049,99.93880049,99.93880049,99.93880049,99.93880049,99.95410037,99.95410037,99.98470012,99.98470012,100,,,68.375153,69.70624235,70.44063647,71.25152999,71.81762546,72.26132191,72.36842105,72.36842105,72.56731946,72.59791922,72.9498164,73.01101591,,,48.16401469,48.16401469,48.16401469,48.16401469,48.16401469,48.16401469,48.16401469,48.16401469,48.16401469,48.16401469,48.16401469,48.16401469
adaptive_avg_pool3d,,99.78013925,99.98778551,99.98778551,99.98778551,99.98778551,99.98778551,99.98778551,99.98778551,99.98778551,99.98778551,99.98778551,100,,,66.28801759,69.6836448,71.22267009,73.03041407,73.49456455,73.56785147,73.68999634,73.75106877,73.88542812,74.28850617,74.28850617,74.30072065,,,23.3174545,23.3174545,23.3174545,23.3174545,23.3174545,23.3174545,23.3174545,23.3174545,23.3174545,23.3174545,23.3174545,23.3174545
adaptive_max_pool2d,,100,100,100,100,100,100,100,100,100,100,100,100,,,49.41176471,49.41176471,49.41176471,49.41176471,49.41176471,49.41176471,49.41176471,49.41176471,49.41176471,49.41176471,49.41176471,49.41176471,,,34.35294118,34.35294118,34.35294118,34.35294118,34.35294118,34.35294118,34.35294118,34.35294118,34.35294118,34.35294118,34.35294118,34.35294118
avg_pool1d,,99.9364945,100,100,100,100,100,100,100,100,100,100,100,,,35.0338696,35.0338696,35.0338696,35.0338696,35.0338696,35.0338696,35.0338696,35.0338696,35.0338696,35.0338696,35.0338696,35.0338696,,,31.26587638,31.26587638,31.26587638,31.26587638,31.26587638,31.26587638,31.26587638,31.26587638,31.26587638,31.26587638,31.26587638,31.26587638
avg_pool2d,,95.13624377,96.71842953,97.04072663,97.36302373,97.86111925,98.09551714,99.73630237,99.76560211,99.76560211,99.76560211,100,100,,,24.49457955,26.25256373,27.65895107,28.332845,28.36214474,28.56724289,28.56724289,28.68444184,28.68444184,28.71374158,28.71374158,28.71374158,,,21.24230882,21.24230882,21.24230882,21.24230882,21.24230882,21.24230882,21.24230882,21.24230882,21.24230882,21.24230882,21.24230882,21.24230882
batch_norm,,35.98414795,37.14663144,38.90356671,39.24702774,39.57727873,39.78863937,39.8678996,39.98678996,39.98678996,39.98678996,40,40.01321004,,,39.2338177,81.36063408,90.89828269,93.88375165,95.87846764,96.34081902,96.82959049,97.85997358,98.11096433,98.7318362,99.1677675,100,,,37.97886394,37.97886394,37.97886394,37.97886394,37.97886394,37.97886394,37.97886394,37.97886394,37.97886394,37.97886394,37.97886394,37.97886394
binary_cross_entropy,,62.32976654,62.52431907,62.52431907,74.7811284,74.7811284,74.7811284,74.7811284,93.79863813,93.79863813,93.79863813,93.79863813,93.8229572,,,98.6381323,99.10019455,99.12451362,99.56225681,99.58657588,99.90272374,99.9270428,99.95136187,99.97568093,99.97568093,100,100,,,95.23346304,95.23346304,95.23346304,95.23346304,95.23346304,95.23346304,95.23346304,95.23346304,95.23346304,95.23346304,95.23346304,95.23346304
binary_cross_entropy_with_logits,,99.38860722,99.74649568,99.82105577,99.82105577,99.82105577,100,100,100,100,100,100,100,,,88.07038473,88.48792126,88.63704146,88.86072174,88.96510588,89.02475395,89.05457799,89.09931405,89.24843424,89.24843424,89.30808231,89.30808231,,,58.7533552,58.7533552,58.7533552,58.7533552,58.7533552,58.7533552,58.7533552,58.7533552,58.7533552,58.7533552,58.7533552,58.7533552
celu,,100,100,100,100,100,100,100,100,100,100,100,100,,,60.50251256,60.8040201,60.8040201,60.8040201,60.8040201,60.8040201,60.8040201,60.8040201,60.8040201,60.8040201,60.8040201,60.8040201,,,40.20100503,40.20100503,40.20100503,40.20100503,40.20100503,40.20100503,40.20100503,40.20100503,40.20100503,40.20100503,40.20100503,40.20100503
conv1d,,80.05638458,91.27011131,96.5197103,97.60365528,98.24041219,98.72648617,98.86744763,99.4750401,99.5722549,99.63058377,99.94167112,100,,,25.62582025,34.9487192,35.01676955,39.18242356,40.93715063,41.02464395,41.18504836,41.18504836,41.25795946,42.31760074,42.37106888,42.44397997,,,23.23433627,23.23433627,23.23433627,23.23433627,23.23433627,23.23433627,23.23433627,23.23433627,23.23433627,23.23433627,23.23433627,23.23433627
conv2d,,78.80030885,89.75484992,94.14149213,96.35652929,97.68844706,98.21928385,98.67773381,98.83698485,99.05897114,99.49329215,99.77318792,100,,,36.24167551,36.24167551,36.24167551,36.34301708,36.41057813,36.41057813,36.42022971,36.45883602,36.45883602,36.45883602,36.45883602,36.45883602,,,24.02760351,24.02760351,24.02760351,24.02760351,24.02760351,24.02760351,24.02760351,24.02760351,24.02760351,24.02760351,24.02760351,24.02760351
conv3d,,65.36059057,75.15834535,82.41820644,86.92176648,90.52985629,92.94980999,94.37382606,96.4661687,97.52762853,98.30515878,99.56318525,100,,,18.35932381,18.9009741,19.70034508,21.70095662,22.01983139,22.13340322,22.21639803,22.51343205,22.64010833,22.6925261,23.17302232,23.17302232,,,22.74494387,22.74494387,22.74494387,22.74494387,22.74494387,22.74494387,22.74494387,22.74494387,22.74494387,22.74494387,22.74494387,22.74494387
conv_transpose2d,,82.14799154,91.23044397,93.07399577,94.31712474,97.05708245,98.03805497,98.35940803,98.48625793,98.53699789,98.55391121,98.57928118,100,,,50.84143763,61.13319239,63.97463002,66.10570825,66.52854123,68.4820296,69.16701903,72.18604651,72.71035941,73.66596195,74.86680761,75.00211416,,,37.7167019,37.7167019,37.7167019,37.7167019,37.7167019,37.7167019,37.7167019,37.7167019,37.7167019,37.7167019,37.7167019,37.7167019
cosine_similarity,,99.91811333,99.91811333,99.950868,99.96724533,99.98362267,99.98362267,99.98362267,100,100,100,100,100,,,90.35375041,92.20438913,94.71012119,94.79200786,94.97215853,95.41434654,95.51261055,95.54536521,95.56174255,95.57811988,95.64362922,95.66000655,,,68.29348182,68.29348182,68.29348182,68.29348182,68.29348182,68.29348182,68.29348182,68.29348182,68.29348182,68.29348182,68.29348182,68.29348182
cross_entropy,,83.81253594,86.88901668,91.41268929,92.75445658,93.76078206,95.06421315,95.37090282,95.65842438,97.02894384,98.00651716,99.71247844,100,,,35.68142611,38.23078398,38.59497796,43.4924286,43.66494154,43.69369369,43.69369369,43.7320299,43.76078206,46.23346751,46.23346751,46.46348476,,,36.57274296,36.57274296,36.57274296,36.57274296,36.57274296,36.57274296,36.57274296,36.57274296,36.57274296,36.57274296,36.57274296,36.57274296
dropout,,99.77163157,99.82238011,99.97462573,100,100,100,100,100,100,100,100,100,,,76.60492261,79.21847247,80.51256026,81.02004567,81.22303984,82.23801066,82.33950774,82.89774169,82.89774169,83.02461304,83.07536158,83.07536158,,,62.87744227,62.87744227,62.87744227,62.87744227,62.87744227,62.87744227,62.87744227,62.87744227,62.87744227,62.87744227,62.87744227,62.87744227
dropout3d,,99.80559876,99.90279938,99.94167963,99.96111975,100,100,100,100,100,100,100,100,,,71.90902022,73.44479005,74.59175739,75.17496112,75.25272162,75.27216174,75.42768274,76.01088647,76.06920684,76.08864697,76.20528771,76.20528771,,,57.44556765,58.30093313,58.30093313,58.30093313,58.30093313,58.30093313,58.30093313,58.30093313,58.30093313,58.30093313,58.30093313,58.30093313
embedding,,61.49369544,62.46362755,62.85160039,63.30423537,63.30423537,63.41739412,63.41739412,63.41739412,63.85386356,64.33882962,64.33882962,64.33882962,,,87.13223408,88.87811187,89.36307792,91.12512124,92.17588102,94.24506951,94.29356612,96.5890721,96.60523763,98.81991594,99.17555771,100,,,47.20336243,47.20336243,47.20336243,47.20336243,47.20336243,47.20336243,47.20336243,47.20336243,47.20336243,47.20336243,47.20336243,47.20336243
gelu,,100,100,100,100,100,100,100,100,100,100,100,100,,,30.88235294,30.88235294,30.88235294,30.88235294,30.88235294,30.88235294,30.88235294,30.88235294,30.88235294,30.88235294,30.88235294,30.88235294,,,18.29411765,18.29411765,18.29411765,18.29411765,18.29411765,18.29411765,18.29411765,18.29411765,18.29411765,18.29411765,18.29411765,18.29411765
